Date,Open,High,Low,Close,Adj Close,Volume
2008-06-24,161.6999969482422,164.39999389648438,150.60000610351562,152.6999969482422,149.5900115966797,7329406
2008-06-25,149.0,157.0,145.10000610351562,155.60000610351562,152.4309539794922,6808217
2008-06-26,155.5,158.39999389648438,150.14999389648438,153.8000030517578,150.66761779785156,3585661
2008-06-27,148.0,150.0,143.0,144.64999389648438,141.70396423339844,3743347
2008-06-30,144.1999969482422,149.3000030517578,135.1999969482422,136.64999389648438,133.8668975830078,4464904
2008-07-01,136.8000030517578,144.8000030517578,126.0999984741211,127.55000305175781,124.95223999023438,6072831
2008-07-02,130.0,134.89999389648438,116.30000305175781,132.5500030517578,129.85040283203125,6397918
2008-07-03,131.0,139.10000610351562,122.0999984741211,130.5500030517578,127.89114379882812,7219892
2008-07-04,132.0,145.0,127.25,135.9499969482422,133.18115234375,1422903
2008-07-07,139.0,143.4499969482422,134.10000610351562,135.60000610351562,132.83828735351562,9001575
2008-07-08,133.89999389648438,139.89999389648438,128.14999389648438,136.89999389648438,134.11180114746094,8839638
2008-07-09,139.9499969482422,150.0,139.9499969482422,148.75,145.72047424316406,6854292
2008-07-10,146.3000030517578,152.85000610351562,146.3000030517578,148.1999969482422,145.18167114257812,5256229
2008-07-11,149.39999389648438,149.9499969482422,139.10000610351562,140.60000610351562,137.73646545410156,7237419
2008-07-14,140.5500030517578,144.0,136.5500030517578,137.60000610351562,134.7975616455078,7292220
2008-07-15,137.0,136.4499969482422,130.5,131.0500030517578,128.38096618652344,4876352
2008-07-16,135.5500030517578,135.5500030517578,125.4000015258789,128.10000610351562,125.49104309082031,3628959
2008-07-17,133.0,134.89999389648438,129.14999389648438,131.75,129.0666961669922,2650031
2008-07-18,133.0500030517578,134.5500030517578,130.8000030517578,132.14999389648438,129.4585418701172,3164669
2008-07-21,132.14999389648438,134.85000610351562,129.5500030517578,132.3000030517578,129.60549926757812,1968876
2008-07-22,132.0,144.1999969482422,132.0,142.75,139.84266662597656,1038644
2008-07-23,150.0,173.3000030517578,147.39999389648438,171.10000610351562,167.6152801513672,2326275
2008-07-24,174.14999389648438,189.6999969482422,171.39999389648438,176.0,172.4154815673828,17765680
2008-07-25,170.0,175.25,166.5,168.85000610351562,165.41110229492188,9502517
2008-07-28,171.0,173.1999969482422,168.0,169.1999969482422,165.75396728515625,4361460
2008-07-29,166.0,167.25,151.6999969482422,154.14999389648438,151.01048278808594,1234074
2008-07-30,157.0,163.8000030517578,157.0,163.0500030517578,159.72923278808594,5375793
2008-07-31,165.0,168.6999969482422,162.5500030517578,165.3000030517578,161.9333953857422,4958709
2008-08-01,162.0,172.0,161.0,170.0,166.5376739501953,1109582
2008-08-04,170.0,173.75,166.35000610351562,170.9499969482422,167.46832275390625,8392542
2008-08-05,171.0,175.0,169.6999969482422,172.0500030517578,168.54592895507812,7175321
2008-08-06,175.0,176.5,165.35000610351562,166.9499969482422,163.54978942871094,3689102
2008-08-07,166.0,170.5,165.0,166.4499969482422,163.0599822998047,3559936
2008-08-08,165.0,170.35000610351562,164.10000610351562,168.89999389648438,165.46006774902344,4034121
2008-08-11,170.8000030517578,172.9499969482422,169.25,170.14999389648438,166.6846160888672,4299790
2008-08-12,172.0,175.0,169.5500030517578,171.14999389648438,167.66424560546875,7313424
2008-08-13,169.5,173.5,169.1999969482422,171.85000610351562,168.35000610351562,4445229
2008-08-14,171.0,171.9499969482422,163.39999389648438,164.5,161.14968872070312,4268933
2008-08-18,163.39999389648438,166.9499969482422,161.0,161.6999969482422,158.40672302246094,2178366
2008-08-19,160.0,161.0,154.0,157.10000610351562,153.90040588378906,4192549
2008-08-20,159.8000030517578,163.39999389648438,158.1999969482422,160.64999389648438,157.3780975341797,4006518
2008-08-21,159.8000030517578,160.5,155.0500030517578,155.4499969482422,152.2840118408203,2252681
2008-08-22,154.0,158.0,152.64999389648438,157.0500030517578,153.85142517089844,3358694
2008-08-25,160.0,160.0500030517578,154.3000030517578,155.25,152.0880889892578,2614746
2008-08-26,153.0,156.85000610351562,152.89999389648438,155.9499969482422,152.77381896972656,2408023
2008-08-27,156.9499969482422,156.89999389648438,153.89999389648438,154.5,151.35336303710938,1866762
2008-08-28,154.4499969482422,155.85000610351562,152.0,153.5500030517578,150.42271423339844,3812859
2008-08-29,156.10000610351562,158.5,155.14999389648438,157.35000610351562,154.14532470703125,3031521
2008-09-01,156.5,157.5,154.4499969482422,157.0,153.8024444580078,1908535
2008-09-02,157.8000030517578,162.89999389648438,157.14999389648438,160.85000610351562,157.57403564453125,2062579
2008-09-04,160.0,161.0,157.1999969482422,159.3000030517578,156.05560302734375,1235184
2008-09-05,156.0,166.89999389648438,155.5500030517578,163.0,159.68023681640625,6204134
2008-09-08,172.89999389648438,178.1999969482422,168.0,168.75,165.31314086914062,8646923
