Date,Open,High,Low,Close,Adj Close,Volume
2001-07-25,505.8500061035156,505.8500061035156,505.8500061035156,505.8500061035156,444.3413391113281,507
2001-07-26,508.70001220703125,508.70001220703125,508.70001220703125,508.70001220703125,446.8448181152344,46
2001-07-27,506.0,506.0,506.0,506.0,444.47308349609375,512
2001-07-30,509.95001220703125,509.95001220703125,509.95001220703125,509.95001220703125,447.94268798828125,23
2001-07-31,517.4500122070312,517.4500122070312,517.4500122070312,517.4500122070312,454.5307312011719,174
2001-08-01,495.70001220703125,495.70001220703125,495.70001220703125,495.70001220703125,435.4254455566406,588
2001-08-02,485.0,485.0,485.0,485.0,428.62054443359375,1850
2001-08-03,483.3500061035156,483.3500061035156,483.3500061035156,483.3500061035156,427.16241455078125,360
2001-08-06,491.8999938964844,491.8999938964844,491.8999938964844,491.8999938964844,434.7185363769531,227
2001-08-07,482.54998779296875,482.54998779296875,482.54998779296875,482.54998779296875,426.4554138183594,1767
2001-08-08,489.0,489.0,489.0,489.0,432.155517578125,32
2001-08-09,489.6499938964844,489.6499938964844,489.6499938964844,489.6499938964844,432.7299499511719,60
2001-08-10,491.75,491.75,491.75,491.75,434.585693359375,290
2001-08-13,485.04998779296875,485.04998779296875,485.04998779296875,485.04998779296875,428.6647033691406,152
2001-08-14,484.0,484.0,484.0,484.0,427.73687744140625,392
2001-08-15,484.0,484.0,484.0,484.0,427.73687744140625,0
2001-08-16,489.0,489.0,489.0,489.0,432.155517578125,72
2001-08-17,496.6499938964844,496.6499938964844,496.6499938964844,496.6499938964844,438.916259765625,318
2001-08-20,495.0,495.0,495.0,495.0,437.45819091796875,29
2001-08-21,486.0,486.0,486.0,486.0,429.5043640136719,337
2001-08-22,486.0,486.0,486.0,486.0,429.5043640136719,0
2001-08-23,495.0,495.0,495.0,495.0,437.45819091796875,100
2001-08-24,500.0,500.0,500.0,500.0,441.8768615722656,30
2001-08-27,485.04998779296875,485.04998779296875,485.04998779296875,485.04998779296875,428.6647033691406,430
2001-08-28,486.3500061035156,486.3500061035156,486.3500061035156,486.3500061035156,429.8136291503906,123
2001-08-29,486.0,486.0,486.0,486.0,429.5043640136719,354
2001-08-30,483.54998779296875,483.54998779296875,483.54998779296875,483.54998779296875,427.33917236328125,352
2001-08-31,486.5,486.5,486.5,486.5,429.9461975097656,217
2001-09-03,483.0,483.0,483.0,483.0,426.8529052734375,213
2001-09-04,477.6499938964844,477.6499938964844,477.6499938964844,477.6499938964844,422.1249084472656,139
2001-09-05,483.95001220703125,483.95001220703125,483.95001220703125,483.95001220703125,427.6926574707031,479
2001-09-06,482.1000061035156,482.1000061035156,482.1000061035156,482.1000061035156,426.05767822265625,181
2001-09-07,480.5,480.5,480.5,480.5,424.6437683105469,222
2001-09-10,478.29998779296875,478.29998779296875,478.29998779296875,478.29998779296875,422.6994323730469,301
2001-09-11,492.70001220703125,492.70001220703125,492.70001220703125,492.70001220703125,435.4253845214844,309
2001-09-12,495.0,495.0,495.0,495.0,437.45819091796875,501
2001-09-13,492.04998779296875,492.04998779296875,492.04998779296875,492.04998779296875,434.8509521484375,429
2001-09-14,498.5,498.5,498.5,498.5,440.55120849609375,1263
2001-09-17,505.3999938964844,505.3999938964844,505.3999938964844,505.3999938964844,446.64910888671875,1927
2001-09-18,482.0,482.0,482.0,482.0,425.96929931640625,587
2001-09-19,482.0,482.0,482.0,482.0,425.96929931640625,224
2001-09-20,482.0,482.0,482.0,482.0,425.96929931640625,458
2001-09-21,487.0,487.0,487.0,487.0,430.3880920410156,132
2001-09-24,482.95001220703125,482.95001220703125,482.95001220703125,482.95001220703125,426.8089904785156,183
2001-09-25,481.04998779296875,481.04998779296875,481.04998779296875,481.04998779296875,425.129638671875,186
2001-09-26,480.0,480.0,480.0,480.0,424.20184326171875,46
2001-09-27,484.75,484.75,484.75,484.75,428.3995056152344,118
2001-09-28,480.1499938964844,480.1499938964844,480.1499938964844,480.1499938964844,424.3343200683594,155
2001-10-01,485.0,485.0,485.0,485.0,428.62054443359375,163
2001-10-02,485.0,485.0,485.0,485.0,428.62054443359375,0
2001-10-03,468.3999938964844,468.3999938964844,468.3999938964844,468.3999938964844,413.9502258300781,186
2001-10-04,468.25,468.25,468.25,468.25,413.8176574707031,225
2001-10-05,465.6000061035156,465.6000061035156,465.6000061035156,465.6000061035156,411.47576904296875,190
2001-10-08,480.0,480.0,480.0,480.0,424.20184326171875,130
2001-10-09,463.95001220703125,463.95001220703125,463.95001220703125,463.95001220703125,410.0175476074219,340
2001-10-10,468.70001220703125,468.70001220703125,468.70001220703125,468.70001220703125,414.2154541015625,309
2001-10-11,478.0,478.0,478.0,478.0,422.4343566894531,296
2001-10-12,478.95001220703125,478.95001220703125,478.95001220703125,478.95001220703125,423.273681640625,487
2001-10-15,480.0,480.0,480.0,480.0,424.20184326171875,67
2001-10-16,487.0,487.0,487.0,487.0,430.3880920410156,74
2001-10-17,486.29998779296875,486.29998779296875,486.29998779296875,486.29998779296875,432.4333801269531,480
2001-10-18,484.0,484.0,484.0,484.0,430.3881530761719,145
2001-10-19,487.0,487.0,487.0,487.0,433.0556945800781,336
2001-10-22,486.0,486.0,486.0,486.0,432.1665344238281,476
2001-10-23,483.75,483.75,483.75,483.75,430.165771484375,682
2001-10-24,484.95001220703125,484.95001220703125,484.95001220703125,484.95001220703125,431.23291015625,236
2001-10-25,486.8999938964844,486.8999938964844,486.8999938964844,486.8999938964844,432.9668273925781,229
2001-10-26,486.8999938964844,486.8999938964844,486.8999938964844,486.8999938964844,432.9668273925781,0
2001-10-29,484.95001220703125,484.95001220703125,484.95001220703125,484.95001220703125,431.23291015625,286
2001-10-30,482.5,482.5,482.5,482.5,429.05419921875,191
2001-10-31,481.29998779296875,481.29998779296875,481.29998779296875,481.29998779296875,427.9871826171875,557
2001-11-01,484.5,484.5,484.5,484.5,430.83270263671875,8357
2001-11-02,507.6499938964844,507.6499938964844,507.6499938964844,507.6499938964844,451.4183654785156,433143
2001-11-05,607.2000122070312,607.2000122070312,607.2000122070312,607.2000122070312,539.9414672851562,14950
2001-11-06,620.2999877929688,620.2999877929688,620.2999877929688,620.2999877929688,551.5903930664062,13892
2001-11-07,611.0499877929688,611.0499877929688,611.0499877929688,611.0499877929688,543.364990234375,18658
2001-11-08,618.7999877929688,618.7999877929688,618.7999877929688,618.7999877929688,550.2564697265625,4569
2001-11-09,602.0999755859375,602.0999755859375,602.0999755859375,602.0999755859375,535.4061889648438,2110
2001-11-12,586.2999877929688,586.2999877929688,586.2999877929688,586.2999877929688,521.3564453125,8063
2001-11-13,589.5,589.5,589.5,589.5,524.2020874023438,1449
2001-11-14,601.5999755859375,601.5999755859375,601.5999755859375,601.5999755859375,534.9616088867188,473
2001-11-15,602.7000122070312,602.7000122070312,602.7000122070312,602.7000122070312,535.9398803710938,1336
2001-11-16,602.7000122070312,602.7000122070312,602.7000122070312,602.7000122070312,535.9398803710938,0
2001-11-19,600.2999877929688,600.2999877929688,600.2999877929688,600.2999877929688,533.8055419921875,5240
2001-11-20,626.8499755859375,626.8499755859375,626.8499755859375,626.8499755859375,557.4146728515625,6993
